ProteinName,UniProt ID,DiseaseName,UMLS concept ID
"Methylmalonate-semialdehyde dehydrogenase [acylating], mitochondrial",Q02252,Epilepsy,C0014544
Lipoprotein lipase,P06858,Epilepsy,C0014544
Apoptosis regulator Bcl-2,P10415,Epilepsy,C0014544
Sodium- and chloride-dependent GABA transporter 1,P30531,Epilepsy,C0014544
"4-aminobutyrate aminotransferase, mitochondrial",P80404,Epilepsy,C0014544
Prostaglandin G/H synthase 2,P35354,Epilepsy,C0014544
"Nitric oxide synthase, endothelial",P29474,Epilepsy,C0014544
Renin,P00797,Epilepsy,C0014544
Pyridoxal phosphate phosphatase,Q96GD0,Epilepsy,C0014544
Solute carrier family 12 member 2,P55011,Epilepsy,C0014544
Alpha-2A adrenergic receptor,P08913,Epilepsy,C0014544
5-hydroxytryptamine receptor 1A,P08908,Epilepsy,C0014544
Arachidonate 15-lipoxygenase,P16050,Epilepsy,C0014544
"Serine hydroxymethyltransferase, cytosolic",P34896,Epilepsy,C0014544
Cytochrome c oxidase subunit 1,P00395,Epilepsy,C0014544
"Glutamate receptor ionotropic, kainate 1",P39086,Epilepsy,C0014544
NADH-ubiquinone oxidoreductase chain 6,P03923,Epilepsy,C0014544
Voltage-dependent P/Q-type calcium channel subunit alpha-1A,O00555,Epilepsy,C0014544
Coagulation factor IX,P00740,Epilepsy,C0014544
"Glutamate receptor ionotropic, NMDA 1",Q05586,Epilepsy,C0014544
Sodium- and chloride-dependent creatine transporter 1,P48029,Epilepsy,C0014544
Glutamate decarboxylase 1,Q99259,Epilepsy,C0014544
Gamma-aminobutyric acid receptor subunit alpha-2,P47869,Epilepsy,C0014544
Substance-P receptor,P25103,Epilepsy,C0014544
D(4) dopamine receptor,P21917,Epilepsy,C0014544
Synaptosomal-associated protein 25,P60880,Epilepsy,C0014544
"Glutamate receptor ionotropic, NMDA 2D",O15399,Epilepsy,C0014544
Ornithine decarboxylase,P11926,Epilepsy,C0014544
"Carnitine O-palmitoyltransferase 1, liver isoform",P50416,Epilepsy,C0014544
Glycine receptor subunit alpha-3,O75311,Epilepsy,C0014544
"Glutamate receptor ionotropic, NMDA 2B",Q13224,Epilepsy,C0014544
Solute carrier family 12 member 3,P55017,Epilepsy,C0014544
Delta-type opioid receptor,P41143,Epilepsy,C0014544
Annexin A1,P04083,Epilepsy,C0014544
Acetylcholinesterase,P22303,Epilepsy,C0014544
RAC-alpha serine/threonine-protein kinase,P31749,Epilepsy,C0014544
Voltage-dependent L-type calcium channel subunit alpha-1C,Q13936,Epilepsy,C0014544
Glycine receptor subunit alpha-1,P23415,Epilepsy,C0014544
Monocarboxylate transporter 2,O60669,Epilepsy,C0014544
5-hydroxytryptamine receptor 2A,P28223,Epilepsy,C0014544
Somatostatin receptor type 1,P30872,Epilepsy,C0014544
"Glutamate receptor ionotropic, NMDA 2C",Q14957,Epilepsy,C0014544
ATP-binding cassette sub-family C member 9,O60706,Epilepsy,C0014544
Gamma-aminobutyric acid receptor subunit alpha-5,P31644,Epilepsy,C0014544
Gamma-aminobutyric acid receptor subunit alpha-4,P48169,Epilepsy,C0014544
Voltage-dependent T-type calcium channel subunit alpha-1G,O43497,Epilepsy,C0014544
Thyrotropin receptor,P16473,Epilepsy,C0014544
Amiloride-sensitive sodium channel subunit delta,P51172,Epilepsy,C0014544
Solute carrier family 12 member 1,Q13621,Epilepsy,C0014544
Thyroid peroxidase,P07202,Epilepsy,C0014544
Gamma-aminobutyric acid receptor subunit alpha-3,P34903,Epilepsy,C0014544
NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13,Q9P0J0,Epilepsy,C0014544
Serum albumin,P02768,Epilepsy,C0014544
"Glutamate receptor ionotropic, NMDA 3B",O60391,Epilepsy,C0014544
Glyceraldehyde-3-phosphate dehydrogenase,P04406,Epilepsy,C0014544
Calcium-activated potassium channel subunit alpha-1,Q12791,Epilepsy,C0014544
Muscarinic acetylcholine receptor M2,P08172,Epilepsy,C0014544
Spermine oxidase,Q9NWM0,Epilepsy,C0014544
"Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial",P08559,Epilepsy,C0014544
Alpha-2B adrenergic receptor,P18089,Epilepsy,C0014544
Aldo-keto reductase family 1 member C3,P42330,Epilepsy,C0014544
Glutamate decarboxylase 2,Q05329,Epilepsy,C0014544
Tyrosine 3-monooxygenase,P07101,Epilepsy,C0014544
"C-1-tetrahydrofolate synthase, cytoplasmic",P11586,Epilepsy,C0014544
Kappa-type opioid receptor,P41145,Epilepsy,C0014544
Serine/threonine-protein kinase B-raf,P15056,Epilepsy,C0014544
Glutamate receptor 1,P42261,Epilepsy,C0014544
72 kDa type IV collagenase,P08253,Epilepsy,C0014544
Sodium-dependent dopamine transporter,Q01959,Epilepsy,C0014544
Interleukin-2 receptor subunit beta,P14784,Epilepsy,C0014544
Cytosolic phospholipase A2,P47712,Epilepsy,C0014544
Monocarboxylate transporter 1,P53985,Epilepsy,C0014544
Potassium voltage-gated channel subfamily KQT member 1,P51787,Epilepsy,C0014544
Acid-sensing ion channel 2,Q16515,Epilepsy,C0014544
Sex hormone-binding globulin,P04278,Epilepsy,C0014544
Free fatty acid receptor 1,O14842,Epilepsy,C0014544
Voltage-dependent calcium channel subunit alpha-2/delta-1,P54289,Epilepsy,C0014544
Tyrosine aminotransferase,P17735,Epilepsy,C0014544
"Indoleamine 2,3-dioxygenase 1",P14902,Epilepsy,C0014544
Potassium voltage-gated channel subfamily H member 7,Q9NS40,Epilepsy,C0014544
Tumor necrosis factor,P01375,Epilepsy,C0014544
ATP-sensitive inward rectifier potassium channel 11,Q14654,Epilepsy,C0014544
Alpha-1D adrenergic receptor,P25100,Epilepsy,C0014544
Methionine synthase,Q99707,Epilepsy,C0014544
Translocator protein,P30536,Epilepsy,C0014544
Neuronal acetylcholine receptor subunit alpha-2,Q15822,Epilepsy,C0014544
Glycine receptor subunit alpha-2,P23416,Epilepsy,C0014544
Sodium-dependent serotonin transporter,P31645,Epilepsy,C0014544
Sodium/hydrogen exchanger 1,P19634,Epilepsy,C0014544
"Glutamate dehydrogenase 2, mitochondrial",P49448,Epilepsy,C0014544
D(2) dopamine receptor,P14416,Epilepsy,C0014544
"Glutamate receptor ionotropic, NMDA 2A",Q12879,Epilepsy,C0014544
"Short-chain specific acyl-CoA dehydrogenase, mitochondrial",P16219,Epilepsy,C0014544
Methionine synthase reductase,Q9UBK8,Epilepsy,C0014544
Gamma-aminobutyric acid receptor subunit alpha-6,Q16445,Epilepsy,C0014544
Chloride channel protein 2,P51788,Epilepsy,C0014544
Epidermal growth factor receptor,P00533,Epilepsy,C0014544
Mu-type opioid receptor,P35372,Epilepsy,C0014544
Activated CDC42 kinase 1,Q07912,Epilepsy,C0014544
Vitamin D3 receptor,P11473,Epilepsy,C0014544
Potassium voltage-gated channel subfamily A member 1,Q09470,Epilepsy,C0014544
Nicotinamide N-methyltransferase,P40261,Epilepsy,C0014544
Multidrug resistance-associated protein 1,P33527,Epilepsy,C0014544
Estrogen receptor beta,Q92731,Epilepsy,C0014544
Glucocorticoid receptor,P04150,Epilepsy,C0014544
Gamma-aminobutyric acid receptor subunit alpha-1,P14867,Epilepsy,C0014544
Glutathione S-transferase Mu 1,P09488,Epilepsy,C0014544
Glutathione peroxidase 1,P07203,Epilepsy,C0014544
Glutathione S-transferase theta-1,P30711,Epilepsy,C0014544
Metabotropic glutamate receptor 1,Q13255,Epilepsy,C0014544
"Glutamate receptor ionotropic, kainate 2",Q13002,Epilepsy,C0014544
"Glutamate receptor ionotropic, kainate 4",Q16099,Epilepsy,C0014544
Glutamate receptor 2,P42262,Epilepsy,C0014544
Glutamate receptor 4,P48058,Epilepsy,C0014544
Glutamate receptor 3,P42263,Epilepsy,C0014544
Metabotropic glutamate receptor 4,Q14833,Epilepsy,C0014544
Metabotropic glutamate receptor 7,Q14831,Epilepsy,C0014544
Metabotropic glutamate receptor 8,O00222,Epilepsy,C0014544
Tyrosine-protein kinase Fyn,P06241,Epilepsy,C0014544
Neuronal acetylcholine receptor subunit alpha-4,P43681,Epilepsy,C0014544
Neuronal acetylcholine receptor subunit beta-2,P17787,Epilepsy,C0014544
Macrophage colony-stimulating factor 1 receptor,P07333,Epilepsy,C0014544
Dipeptidyl peptidase 4,P27487,Epilepsy,C0014544
Glucagon-like peptide 1 receptor,P43220,Epilepsy,C0014544
Voltage-dependent T-type calcium channel subunit alpha-1H,O95180,Epilepsy,C0014544
Protein-tyrosine kinase 2-beta,Q14289,Epilepsy,C0014544
Protein kinase C beta type,P05771,Epilepsy,C0014544
C-reactive protein,P02741,Epilepsy,C0014544
Alpha-synuclein,P37840,Epilepsy,C0014544
Aquaporin-1,P29972,Epilepsy,C0014544
Histone deacetylase 9,Q9UKV0,Epilepsy,C0014544
Excitatory amino acid transporter 2,P43004,Epilepsy,C0014544
Cyclin-dependent-like kinase 5,Q00535,Epilepsy,C0014544
Urokinase-type plasminogen activator,P00749,Epilepsy,C0014544
Potassium voltage-gated channel subfamily KQT member 2,O43526,Epilepsy,C0014544
"Peroxiredoxin-5, mitochondrial",P30044,Epilepsy,C0014544
Interleukin-6,P05231,Epilepsy,C0014544
Mitogen-activated protein kinase 1,P28482,Epilepsy,C0014544
Adenosine receptor A2a,P29274,Epilepsy,C0014544
Proteinase-activated receptor 1,P25116,Epilepsy,C0014544
Cytochrome b,P00156,Epilepsy,C0014544
Cathepsin D,P07339,Epilepsy,C0014544
Low-density lipoprotein receptor-related protein 2,P98164,Epilepsy,C0014544
Vitamin K-dependent protein S,P07225,Epilepsy,C0014544
Interferon gamma,P01579,Epilepsy,C0014544
Pro-opiomelanocortin,P01189,Epilepsy,C0014544
Tumor necrosis factor receptor superfamily member 1B,P20333,Epilepsy,C0014544
Nuclear receptor subfamily 1 group I member 2,O75469,Epilepsy,C0014544
Cyclic AMP-responsive element-binding protein 1,P16220,Epilepsy,C0014544
Lactoylglutathione lyase,Q04760,Epilepsy,C0014544
Spermine synthase,P52788,Epilepsy,C0014544
"Apoptosis-inducing factor 1, mitochondrial",O95831,Epilepsy,C0014544
Tissue factor pathway inhibitor,P10646,Epilepsy,C0014544
Metabotropic glutamate receptor 2,Q14416,Epilepsy,C0014544
Tyrosine-protein phosphatase non-receptor type 4,P29074,Epilepsy,C0014544
Transforming growth factor beta-1,P01137,Epilepsy,C0014544
Catenin beta-1,P35222,Epilepsy,C0014544
Sodium/calcium exchanger 1,P32418,Epilepsy,C0014544
Beta-secretase 1,P56817,Epilepsy,C0014544
Protein deglycase DJ-1,Q99497,Epilepsy,C0014544
Synaptic vesicle glycoprotein 2A,Q7L0J3,Epilepsy,C0014544
Tumor necrosis factor ligand superfamily member 13B,Q9Y275,Epilepsy,C0014544
Peptidyl-prolyl cis-trans isomerase A,P62937,Epilepsy,C0014544
Kininogen-1,P01042,Epilepsy,C0014544
Transient receptor potential cation channel subfamily V member 1,Q8NER1,Epilepsy,C0014544
Interleukin-2,P60568,Epilepsy,C0014544
G protein-activated inward rectifier potassium channel 2,P48051,Epilepsy,C0014544
Basement membrane-specific heparan sulfate proteoglycan core protein,P98160,Epilepsy,C0014544
Multidrug resistance protein 1,P08183,Epilepsy,C0014544
Chymase,P23946,Epilepsy,C0014544
High affinity nerve growth factor receptor,P04629,Epilepsy,C0014544
Transcription factor AP-1,P05412,Epilepsy,C0014544
Solute carrier organic anion transporter family member 2B1,O94956,Epilepsy,C0014544
Elastin,P15502,Epilepsy,C0014544
C-C motif chemokine 2,P13500,Epilepsy,C0014544
Interleukin-1 beta,P01584,Epilepsy,C0014544
Excitatory amino acid transporter 3,P43005,Epilepsy,C0014544
"Solute carrier family 2, facilitated glucose transporter member 1",P11166,Epilepsy,C0014544
Glycogen synthase kinase-3 beta,P49841,Epilepsy,C0014544
ATP-binding cassette sub-family G member 2,Q9UNQ0,Epilepsy,C0014544
Canalicular multispecific organic anion transporter 1,Q92887,Epilepsy,C0014544
Myeloperoxidase,P05164,Epilepsy,C0014544
85/88 kDa calcium-independent phospholipase A2,O60733,Epilepsy,C0014544
Cyclin-dependent kinase 1,P06493,Epilepsy,C0014544
Intercellular adhesion molecule 1,P05362,Epilepsy,C0014544
Nuclear factor NF-kappa-B p105 subunit,P19838,Epilepsy,C0014544
Tissue-type plasminogen activator,P00750,Epilepsy,C0014544
Beta-nerve growth factor,P01138,Epilepsy,C0014544
Gap junction alpha-1 protein,P17302,Epilepsy,C0014544
5'-nucleotidase,P21589,Epilepsy,C0014544
Mitogen-activated protein kinase 10,P53779,Epilepsy,C0014544
Calcitonin gene-related peptide 1,P06881,Epilepsy,C0014544
Major prion protein,P04156,Epilepsy,C0014544
Hexokinase-1,P19367,Epilepsy,C0014544
Vascular cell adhesion protein 1,P19320,Epilepsy,C0014544
Excitatory amino acid transporter 1,P43003,Epilepsy,C0014544
Stromelysin-1,P08254,Epilepsy,C0014544
Apolipoprotein E,P02649,Epilepsy,C0014544
Heat shock protein HSP 90-alpha,P07900,Epilepsy,C0014544
Proto-oncogene c-Fos,P01100,Epilepsy,C0014544
Protein kinase C alpha type,P17252,Epilepsy,C0014544
Ceruloplasmin,P00450,Epilepsy,C0014544
Vitamin D-binding protein,P02774,Epilepsy,C0014544
Sodium channel protein type 9 subunit alpha,Q15858,Epilepsy,C0014544
Protein-L-isoaspartate(D-aspartate) O-methyltransferase,P22061,Epilepsy,C0014544
Protein NOV homolog,P48745,Epilepsy,C0014544
Caspase-3,P42574,Epilepsy,C0014544
Hematopoietic prostaglandin D synthase,O60760,Epilepsy,C0014544
ATP-binding cassette sub-family G member 1,P45844,Epilepsy,C0014544
Protein S100-B,P04271,Epilepsy,C0014544
Fibronectin,P02751,Epilepsy,C0014544
Transient receptor potential cation channel subfamily M member 8,Q7Z2W7,Epilepsy,C0014544
Glutathione S-transferase Mu 2,P28161,Epilepsy,C0014544
Metabotropic glutamate receptor 5,P41594,Epilepsy,C0014544
3-phosphoinositide-dependent protein kinase 1,O15530,Epilepsy,C0014544
Catalase,P04040,Epilepsy,C0014544
Isocitrate dehydrogenase [NADP] cytoplasmic,O75874,Epilepsy,C0014544
Tubulin alpha-1B chain,P68363,Epilepsy,C0014544
"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform",P48736,Epilepsy,C0014544
Tubulin alpha-1A chain,Q71U36,Epilepsy,C0014544
Tubulin beta-3 chain,Q13509,Epilepsy,C0014544
Oxysterols receptor LXR-beta,P55055,Epilepsy,C0014544
Uroporphyrinogen decarboxylase,P06132,Epilepsy,C0014544
Sialic acid-binding Ig-like lectin 7,Q9Y286,Epilepsy,C0014544
Poly [ADP-ribose] polymerase 1,P09874,Epilepsy,C0014544
Death-associated protein kinase 1,P53355,Epilepsy,C0014544
Macrophage migration inhibitory factor,P14174,Epilepsy,C0014544
Galectin-10,Q05315,Epilepsy,C0014544
Heat shock protein HSP 90-beta,P08238,Epilepsy,C0014544
"Thioredoxin reductase 1, cytoplasmic",Q16881,Epilepsy,C0014544
Sodium channel protein type 2 subunit alpha,Q99250,Epilepsy,C0014544
Sodium channel protein type 3 subunit alpha,Q9NY46,Epilepsy,C0014544
Sodium channel protein type 4 subunit alpha,P35499,Epilepsy,C0014544
Sodium channel protein type 8 subunit alpha,Q9UQD0,Epilepsy,C0014544
Catechol O-methyltransferase,P21964,Epilepsy,C0014544
Aromatase,P11511,Epilepsy,C0014544
Laminin subunit beta-1,P07942,Epilepsy,C0014544
Fibroblast growth factor receptor 1,P11362,Epilepsy,C0014544
Fibroblast growth factor receptor 3,P22607,Epilepsy,C0014544
Vesicle-associated membrane protein 2,P63027,Epilepsy,C0014544
Synaptotagmin-2,Q8N9I0,Epilepsy,C0014544
Collagen alpha-1(II) chain,P02458,Epilepsy,C0014544
Serpin B6,P35237,Epilepsy,C0014544
Proline synthase co-transcribed bacterial homolog protein,O94903,Epilepsy,C0014544
Methylenetetrahydrofolate reductase,P42898,Epilepsy,C0014544
Cholinesterase,P06276,Epilepsy,C0014544
Peptidyl-glycine alpha-amidating monooxygenase,P19021,Epilepsy,C0014544
Adenosine deaminase,P00813,Epilepsy,C0014544
Voltage-dependent N-type calcium channel subunit alpha-1B,Q00975,Epilepsy,C0014544
Glutamine synthetase,P15104,Epilepsy,C0014544
"Probable glutamate--tRNA ligase, mitochondrial",Q5JPH6,Epilepsy,C0014544
"Threonine--tRNA ligase, mitochondrial",Q9BW92,Epilepsy,C0014544
"Lipoyl synthase, mitochondrial",O43766,Epilepsy,C0014544
"Proline dehydrogenase 1, mitochondrial",O43272,Epilepsy,C0014544
Peptidyl-prolyl cis-trans isomerase G,Q13427,Epilepsy,C0014544
"Probable proline--tRNA ligase, mitochondrial",Q7L3T8,Epilepsy,C0014544
"Probable asparagine--tRNA ligase, mitochondrial",Q96I59,Epilepsy,C0014544
Neuronal acetylcholine receptor subunit alpha-7,P36544,Epilepsy,C0014544
Neuronal acetylcholine receptor subunit alpha-7,P36544,Epilepsy,C0014544
Metabotropic glutamate receptor 3,Q14832,Epilepsy,C0014544
Gamma-aminobutyric acid receptor subunit beta-3,P28472,Epilepsy,C0014544
Gamma-aminobutyric acid receptor subunit beta-2,P47870,Epilepsy,C0014544
Voltage-dependent L-type calcium channel subunit alpha-1S,Q13698,Epilepsy,C0014544
Voltage-dependent L-type calcium channel subunit beta-4,O00305,Epilepsy,C0014544
Voltage-dependent L-type calcium channel subunit alpha-1D,Q01668,Epilepsy,C0014544
Cytochrome P450 3A5,P20815,Epilepsy,C0014544
Cytochrome P450 2D6,P10635,Epilepsy,C0014544
Histone deacetylase 2,Q92769,Epilepsy,C0014544
Hypoxia-inducible factor 1-alpha,Q16665,Epilepsy,C0014544
Nociceptin receptor,P41146,Epilepsy,C0014544
"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform",P42336,Epilepsy,C0014544
Serine/threonine-protein kinase mTOR,P42345,Epilepsy,C0014544
Superoxide dismutase [Cu-Zn],P00441,Epilepsy,C0014544
Voltage-dependent calcium channel subunit alpha-2/delta-2,Q9NY47,Epilepsy,C0014544
Potassium voltage-gated channel subfamily KQT member 3,O43525,Epilepsy,C0014544
Potassium voltage-gated channel subfamily KQT member 4,P56696,Epilepsy,C0014544
Potassium voltage-gated channel subfamily KQT member 5,Q9NR82,Epilepsy,C0014544
Disintegrin and metalloproteinase domain-containing protein 10,O14672,Epilepsy,C0014544
"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform",O00329,Epilepsy,C0014544
"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform",P42338,Epilepsy,C0014544
Proto-oncogene tyrosine-protein kinase receptor Ret,P07949,Epilepsy,C0014544
Protein kinase C delta type,Q05655,Epilepsy,C0014544
Neuropeptide Y receptor type 2,P49146,Epilepsy,C0014544
Cytochrome P450 1A2,P05177,Epilepsy,C0014544
Interleukin-13,P35225,Epilepsy,C0014544
Toll-like receptor 4,O00206,Epilepsy,C0014544
Telomerase reverse transcriptase,O14746,Epilepsy,C0014544
NAD-dependent protein deacetylase sirtuin-1,Q96EB6,Epilepsy,C0014544
Protein disulfide-isomerase,P07237,Epilepsy,C0014544
Voltage-dependent anion-selective channel protein 1,P21796,Epilepsy,C0014544
Voltage-dependent anion-selective channel protein 2,P45880,Epilepsy,C0014544
Telomerase-binding protein EST1A,Q86US8,Epilepsy,C0014544
Granulocyte-macrophage colony-stimulating factor,P04141,Epilepsy,C0014544
Interleukin-10,P22301,Epilepsy,C0014544
Glial cell line-derived neurotrophic factor,P39905,Epilepsy,C0014544
Wiskott-Aldrich syndrome protein,P42768,Epilepsy,C0014544
Cytochrome P450 3A4,P08684,Epilepsy,C0014544
Gephyrin,Q9NQX3,Epilepsy,C0014544
Cytochrome P450 2C9,P11712,Epilepsy,C0014544
Zinc-alpha-2-glycoprotein,P25311,Epilepsy,C0014544
"2,4-dienoyl-CoA reductase, mitochondrial",Q16698,Epilepsy,C0014544
Arylsulfatase A,P15289,Epilepsy,C0014544
Pituitary adenylate cyclase-activating polypeptide,P18509,Epilepsy,C0014544
Parathyroid hormone,P01270,Epilepsy,C0014544
Calpain-1 catalytic subunit,P07384,Epilepsy,C0014544
Leptin receptor,P48357,Epilepsy,C0014544
Cellular tumor antigen p53,P04637,Epilepsy,C0014544
Cytochrome c oxidase subunit 2,P00403,Epilepsy,C0014544
C-C chemokine receptor type 2,P41597,Epilepsy,C0014544
Amyloid beta A4 protein,P05067,Epilepsy,C0014544
Brain-derived neurotrophic factor,P23560,Epilepsy,C0014544
Tubulin beta-2A chain,Q13885,Epilepsy,C0014544
Folate receptor alpha,P15328,Epilepsy,C0014544
Insulin-like growth factor I,P05019,Epilepsy,C0014544
Bcl-2-like protein 2,Q92843,Epilepsy,C0014544
Bcl2-associated agonist of cell death,Q92934,Epilepsy,C0014544
Type-2 angiotensin II receptor,P50052,Epilepsy,C0014544
High mobility group protein B1,P09429,Epilepsy,C0014544
Heat shock protein beta-1,P04792,Epilepsy,C0014544
Caspase-8,Q14790,Epilepsy,C0014544
Signal transducer and activator of transcription 3,P40763,Epilepsy,C0014544
Microtubule-associated protein tau,P10636,Epilepsy,C0014544
Pro-neuropeptide Y,P01303,Epilepsy,C0014544
"HLA class I histocompatibility antigen, A-3 alpha chain",P04439,Epilepsy,C0014544
"HLA class I histocompatibility antigen, A-3 alpha chain",P04439,Epilepsy,C0014544
Insulin,P01308,Epilepsy,C0014544
Platelet-derived growth factor subunit B,P01127,Epilepsy,C0014544
Casein kinase I isoform epsilon,P49674,Epilepsy,C0014544
B2 bradykinin receptor,P30411,Epilepsy,C0014544
Tumor necrosis factor ligand superfamily member 11,O14788,Epilepsy,C0014544
Interleukin-4,P05112,Epilepsy,C0014544
Histone deacetylase 4,P56524,Epilepsy,C0014544
Cytochrome P450 2C19,P33261,Epilepsy,C0014544
UDP-glucuronosyltransferase 1-9,O60656,Epilepsy,C0014544
Adenosine kinase,P55263,Epilepsy,C0014544
Cytochrome P450 1A1,P04798,Epilepsy,C0014544
"Alkaline phosphatase, tissue-nonspecific isozyme",P05186,Epilepsy,C0014544
Cytochrome P450 2B6,P20813,Epilepsy,C0014544
V-type proton ATPase catalytic subunit A,P38606,Epilepsy,C0014544
Potassium channel subfamily K member 3,O14649,Epilepsy,C0014544
Potassium channel subfamily K member 9,Q9NPC2,Epilepsy,C0014544
Gamma-aminobutyric acid receptor subunit gamma-2,P18507,Epilepsy,C0014544
Gamma-aminobutyric acid receptor subunit rho-2,P28476,Epilepsy,C0014544
Gamma-aminobutyric acid receptor subunit delta,O14764,Epilepsy,C0014544
Potassium voltage-gated channel subfamily D member 2,Q9NZV8,Epilepsy,C0014544
Potassium voltage-gated channel subfamily D member 3,Q9UK17,Epilepsy,C0014544
BDNF/NT-3 growth factors receptor,Q16620,Epilepsy,C0014544
Cytochrome P450 2C18,P33260,Epilepsy,C0014544
Sodium channel subunit beta-1,Q07699,Epilepsy,C0014544
Sodium channel subunit beta-2,O60939,Epilepsy,C0014544
Sodium channel subunit beta-3,Q9NY72,Epilepsy,C0014544
Multidrug resistance-associated protein 5,O15440,Epilepsy,C0014544
Tubulin gamma-1 chain,P23258,Epilepsy,C0014544
Pannexin-1,Q96RD7,Epilepsy,C0014544
Carboxypeptidase A1,P15085,Epilepsy,C0014544
Low molecular weight phosphotyrosine protein phosphatase,P24666,Epilepsy,C0014544
Mitogen-activated protein kinase 8,P45983,Epilepsy,C0014544
"Malonyl-CoA-acyl carrier protein transacylase, mitochondrial",Q8IVS2,Epilepsy,C0014544
"V-type proton ATPase subunit B, brain isoform",P21281,Epilepsy,C0014544
Serine/threonine-protein kinase/endoribonuclease IRE1,O75460,Epilepsy,C0014544
CHRNA7-FAM7A fusion protein,Q494W8,Epilepsy,C0014544
Cytochrome c oxidase subunit 3,P00414,Epilepsy,C0014544
"Cytochrome c oxidase subunit 8A, mitochondrial",P10176,Epilepsy,C0014544
Phospholipase A2,P04054,Epilepsy,C0014544
Dual specificity tyrosine-phosphorylation-regulated kinase 1A,Q13627,Epilepsy,C0014544
Hepatocyte nuclear factor 4-alpha,P41235,Epilepsy,C0014544
Calcium/calmodulin-dependent protein kinase type IV,Q16566,Epilepsy,C0014544
GTPase KRas,P01116,Epilepsy,C0014544
"HLA class I histocompatibility antigen, B-27 alpha chain",P01889,Epilepsy,C0014544
Polyubiquitin-C,P0CG48,Epilepsy,C0014544
Serine/threonine-protein kinase Sgk1,O00141,Epilepsy,C0014544
Calcium/calmodulin-dependent protein kinase type II subunit delta,Q13557,Epilepsy,C0014544
Serine/threonine-protein phosphatase 2B catalytic subunit alpha isoform,Q08209,Epilepsy,C0014544
Actin-related protein 2/3 complex subunit 2,O15144,Epilepsy,C0014544
Elongation factor 2,P13639,Epilepsy,C0014544
CREB-binding protein,Q92793,Epilepsy,C0014544
Mediator of RNA polymerase II transcription subunit 1,Q15648,Epilepsy,C0014544
Orexin,O43612,Epilepsy,C0014544
"Superoxide dismutase [Mn], mitochondrial",P04179,Epilepsy,C0014544
Vimentin,P08670,Epilepsy,C0014544
Parvalbumin alpha,P20472,Epilepsy,C0014544
Synapsin-1,P17600,Epilepsy,C0014544
Inositol-3-phosphate synthase 1,Q9NPH2,Epilepsy,C0014544
Vesicle-fusing ATPase,P46459,Epilepsy,C0014544
"Alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase",P26572,Epilepsy,C0014544
Disks large homolog 4,P78352,Epilepsy,C0014544
Follistatin,P19883,Epilepsy,C0014544
"Isocitrate dehydrogenase [NADP], mitochondrial",P48735,Epilepsy,C0014544
Nuclear receptor ROR-alpha,P35398,Epilepsy,C0014544
"NAD-dependent protein deacetylase sirtuin-3, mitochondrial",Q9NTG7,Epilepsy,C0014544
Ephrin type-B receptor 2,P29323,Epilepsy,C0014544
Gamma-enolase,P09104,Epilepsy,C0014544
GTP-binding nuclear protein Ran,P62826,Epilepsy,C0014544
"[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial",O14874,Epilepsy,C0014544
Transitional endoplasmic reticulum ATPase,P55072,Epilepsy,C0014544
FAD-linked sulfhydryl oxidase ALR,P55789,Epilepsy,C0014544
Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 2,Q9UL51,Epilepsy,C0014544
Eukaryotic translation initiation factor 2 subunit 3,P41091,Epilepsy,C0014544
"Thymidine kinase 2, mitochondrial",O00142,Epilepsy,C0014544
Potassium voltage-gated channel subfamily A member 2,P16389,Epilepsy,C0014544
Potassium voltage-gated channel subfamily B member 1,Q14721,Epilepsy,C0014544
Potassium voltage-gated channel subfamily C member 1,P48547,Epilepsy,C0014544
Sodium- and chloride-dependent GABA transporter 3,P48066,Epilepsy,C0014544
Interleukin-1 alpha,P01583,Epilepsy,C0014544
Interleukin-1 receptor antagonist protein,P18510,Epilepsy,C0014544
Sodium/glucose cotransporter 2,P31639,Epilepsy,C0014544
Kelch-like ECH-associated protein 1,Q14145,Epilepsy,C0014544
Serine/threonine-protein kinase SIK1,P57059,Epilepsy,C0014544
Receptor tyrosine-protein kinase erbB-4,Q15303,Epilepsy,C0014544
Sodium- and chloride-dependent GABA transporter 2,Q9NSD5,Epilepsy,C0014544
Sodium- and chloride-dependent betaine transporter,P48065,Epilepsy,C0014544
Gamma-aminobutyric acid receptor subunit alpha-1,P14867,Epilepsy,C0014544
Gamma-aminobutyric acid receptor subunit alpha-2,P47869,Epilepsy,C0014544
Gamma-aminobutyric acid receptor subunit alpha-3,P34903,Epilepsy,C0014544
Gamma-aminobutyric acid receptor subunit alpha-4,P48169,Epilepsy,C0014544
Gamma-aminobutyric acid receptor subunit alpha-5,P31644,Epilepsy,C0014544
