Drug name,DrugBank ID,ProteinName,UniProt ID
Procaine,DB00721,Calcium-activated potassium channel subunit beta-1,Q16558
Procaine,DB00721,Calcium-activated potassium channel subunit beta-2,Q9Y691
Procaine,DB00721,Calcium-activated potassium channel subunit beta-3,Q9NPA1
Procaine,DB00721,Calcium-activated potassium channel subunit beta-4,Q86W47
Procaine,DB00721,Intermediate conductance calcium-activated potassium channel protein 4,O15554
Procaine,DB00721,Small conductance calcium-activated potassium channel protein 1,Q92952
Procaine,DB00721,Small conductance calcium-activated potassium channel protein 2,Q9H2S1
Procaine,DB00721,Small conductance calcium-activated potassium channel protein 3,Q9UGI6
Procaine,DB00721,Cytosolic phospholipase A2,P47712
Procaine,DB00721,60 kDa lysophospholipase,Q86U10
Procaine,DB00721,Amine oxidase [flavin-containing] A,P21397
Procaine,DB00721,Amine oxidase [flavin-containing] B,P27338
Procaine,DB00721,DNA (cytosine-5)-methyltransferase 1,P26358
Procaine,DB00721,DNA (cytosine-5)-methyltransferase 3A,Q9Y6K1
Prochlorperazine,DB00433,D(2) dopamine receptor,P14416
Prochlorperazine,DB00433,Histamine H1 receptor,P35367
Prochlorperazine,DB00433,Alpha-1A adrenergic receptor,P35348
Prochlorperazine,DB00433,Alpha-1B adrenergic receptor,P35368
Prochlorperazine,DB00433,Alpha-1D adrenergic receptor,P25100
Prochlorperazine,DB00433,Alpha-2A adrenergic receptor,P08913
Prochlorperazine,DB00433,Alpha-2B adrenergic receptor,P18089
Prochlorperazine,DB00433,Alpha-2C adrenergic receptor,P18825
Procyclidine,DB00387,Muscarinic acetylcholine receptor M1,P11229
Procyclidine,DB00387,Muscarinic acetylcholine receptor M4,P08173
Procyclidine,DB00387,Muscarinic acetylcholine receptor M2,P08172
Procyclidine,DB00387,Muscarinic acetylcholine receptor M3,P20309
Progesterone,DB00396,Progesterone receptor,P06401
Progesterone,DB00396,Estrogen receptor,P03372
Progesterone,DB00396,Mineralocorticoid receptor,P08235
Progesterone,DB00396,"Steroid 17-alpha-hydroxylase/17,20 lyase",P05093
Progesterone,DB00396,Kappa-type opioid receptor,P41145
Progesterone,DB00396,Alpha-1-acid glycoprotein 1,P02763
Progesterone,DB00396,Glucocorticoid receptor,P04150
Progesterone,DB00396,Androgen receptor,P10275
Progesterone,DB00396,Sex hormone-binding globulin,P04278
Progesterone,DB00396,Estrogen receptor beta,Q92731
Promethazine,DB01069,Histamine H1 receptor,P35367
Promethazine,DB01069,D(2) dopamine receptor,P14416
Promethazine,DB01069,Muscarinic acetylcholine receptor M1,P11229
Promethazine,DB01069,Muscarinic acetylcholine receptor M2,P08172
Promethazine,DB01069,Muscarinic acetylcholine receptor M3,P20309
Promethazine,DB01069,Muscarinic acetylcholine receptor M4,P08173
Promethazine,DB01069,Muscarinic acetylcholine receptor M5,P08912
Promethazine,DB01069,Alpha-1A adrenergic receptor,P35348
Promethazine,DB01069,Alpha-1B adrenergic receptor,P35368
Promethazine,DB01069,Alpha-1D adrenergic receptor,P25100
Promethazine,DB01069,Alpha-2A adrenergic receptor,P08913
Promethazine,DB01069,Alpha-2B adrenergic receptor,P18089
Promethazine,DB01069,Alpha-2C adrenergic receptor,P18825
Promethazine,DB01069,Calmodulin,P0DP23
Promethazine,DB01069,Histamine H2 receptor,P25021
Promethazine,DB01069,Lysophosphatidic acid receptor 4,Q99677
Promethazine,DB01069,Lysophosphatidic acid receptor 6,P43657
Promethazine,DB01069,P2X purinoceptor 1,P51575
Promethazine,DB01069,P2X purinoceptor 2,Q9UBL9
Promethazine,DB01069,P2X purinoceptor 3,P56373
Promethazine,DB01069,P2X purinoceptor 4,Q99571
Promethazine,DB01069,P2X purinoceptor 5,Q93086
Promethazine,DB01069,P2X purinoceptor 6,O15547
Promethazine,DB01069,P2X purinoceptor 7,Q99572
Promethazine,DB01069,P2Y purinoceptor 1,P47900
Promethazine,DB01069,P2Y purinoceptor 11,Q96G91
Promethazine,DB01069,P2Y purinoceptor 12,Q9H244
Promethazine,DB01069,P2Y purinoceptor 13,Q9BPV8
Promethazine,DB01069,P2Y purinoceptor 14,Q15391
Promethazine,DB01069,P2Y purinoceptor 2,P41231
Promethazine,DB01069,P2Y purinoceptor 4,P51582
Promethazine,DB01069,P2Y purinoceptor 8,Q86VZ1
Promethazine,DB01069,Putative P2Y purinoceptor 10,O00398
Promethazine,DB01069,Sodium channel protein type 1 subunit alpha,P35498
Promethazine,DB01069,Sodium channel protein type 10 subunit alpha,Q9Y5Y9
Promethazine,DB01069,Sodium channel protein type 11 subunit alpha,Q9UI33
Promethazine,DB01069,Sodium channel protein type 2 subunit alpha,Q99250
Promethazine,DB01069,Sodium channel protein type 3 subunit alpha,Q9NY46
Promethazine,DB01069,Sodium channel protein type 4 subunit alpha,P35499
Promethazine,DB01069,Sodium channel protein type 5 subunit alpha,Q14524
Promethazine,DB01069,Sodium channel protein type 7 subunit alpha,Q01118
Promethazine,DB01069,Sodium channel protein type 8 subunit alpha,Q9UQD0
Promethazine,DB01069,Sodium channel protein type 9 subunit alpha,Q15858
Promethazine,DB01069,Potassium voltage-gated channel subfamily A member 1,Q09470
Promethazine,DB01069,Potassium voltage-gated channel subfamily A member 10,Q16322
Promethazine,DB01069,Potassium voltage-gated channel subfamily A member 2,P16389
Promethazine,DB01069,Potassium voltage-gated channel subfamily A member 3,P22001
Promethazine,DB01069,Potassium voltage-gated channel subfamily A member 4,P22459
Promethazine,DB01069,Potassium voltage-gated channel subfamily A member 5,P22460
Promethazine,DB01069,Potassium voltage-gated channel subfamily A member 6,P17658
Promethazine,DB01069,Potassium voltage-gated channel subfamily B member 1,Q14721
Promethazine,DB01069,Potassium voltage-gated channel subfamily B member 2,Q92953
Promethazine,DB01069,Potassium voltage-gated channel subfamily C member 1,P48547
Promethazine,DB01069,Potassium voltage-gated channel subfamily C member 2,Q96PR1
Promethazine,DB01069,Potassium voltage-gated channel subfamily C member 3,Q14003
Promethazine,DB01069,Potassium voltage-gated channel subfamily C member 4,Q03721
Promethazine,DB01069,Potassium voltage-gated channel subfamily D member 1,Q9NSA2
Promethazine,DB01069,Potassium voltage-gated channel subfamily D member 2,Q9NZV8
Promethazine,DB01069,Potassium voltage-gated channel subfamily D member 3,Q9UK17
Promethazine,DB01069,Potassium voltage-gated channel subfamily E member 1,P15382
Promethazine,DB01069,Potassium voltage-gated channel subfamily E member 2,Q9Y6J6
Promethazine,DB01069,Potassium voltage-gated channel subfamily E member 3,Q9Y6H6
Promethazine,DB01069,Potassium voltage-gated channel subfamily E member 4,Q8WWG9
Promethazine,DB01069,Potassium voltage-gated channel subfamily E regulatory beta subunit 5,Q9UJ90
Promethazine,DB01069,Potassium voltage-gated channel subfamily F member 1,Q9H3M0
Promethazine,DB01069,Potassium voltage-gated channel subfamily G member 1,Q9UIX4
Promethazine,DB01069,Potassium voltage-gated channel subfamily G member 2,Q9UJ96
Promethazine,DB01069,Potassium voltage-gated channel subfamily G member 3,Q8TAE7
Promethazine,DB01069,Potassium voltage-gated channel subfamily G member 4,Q8TDN1
Promethazine,DB01069,Potassium voltage-gated channel subfamily H member 1,O95259
Promethazine,DB01069,Potassium voltage-gated channel subfamily H member 2,Q12809
Promethazine,DB01069,Potassium voltage-gated channel subfamily H member 3,Q9ULD8
Promethazine,DB01069,Potassium voltage-gated channel subfamily H member 4,Q9UQ05
Promethazine,DB01069,Potassium voltage-gated channel subfamily H member 5,Q8NCM2
Promethazine,DB01069,Potassium voltage-gated channel subfamily H member 6,Q9H252
Promethazine,DB01069,Potassium voltage-gated channel subfamily H member 7,Q9NS40
Promethazine,DB01069,Potassium voltage-gated channel subfamily H member 8,Q96L42
Promethazine,DB01069,Potassium voltage-gated channel subfamily KQT member 1,P51787
Promethazine,DB01069,Potassium voltage-gated channel subfamily KQT member 2,O43526
Promethazine,DB01069,Potassium voltage-gated channel subfamily KQT member 3,O43525
Promethazine,DB01069,Potassium voltage-gated channel subfamily KQT member 4,P56696
Promethazine,DB01069,Potassium voltage-gated channel subfamily KQT member 5,Q9NR82
Promethazine,DB01069,Potassium voltage-gated channel subfamily S member 1,Q96KK3
Promethazine,DB01069,Potassium voltage-gated channel subfamily S member 3,Q9BQ31
Promethazine,DB01069,Potassium voltage-gated channel subfamily V member 1,Q6PIU1
Promethazine,DB01069,Potassium voltage-gated channel subfamily V member 2,Q8TDN2
Promethazine,DB01069,Voltage-gated potassium channel subunit beta-1,Q14722
Promethazine,DB01069,Voltage-gated potassium channel subunit beta-2,Q13303
Propafenone,DB01182,Sodium channel protein type 5 subunit alpha,Q14524
Propafenone,DB01182,Potassium voltage-gated channel subfamily H member 2,Q12809
Propafenone,DB01182,Beta-1 adrenergic receptor,P08588
Propafenone,DB01182,Beta-2 adrenergic receptor,P07550
Propranolol,DB00571,Beta-1 adrenergic receptor,P08588
Propranolol,DB00571,Beta-2 adrenergic receptor,P07550
Propranolol,DB00571,Beta-3 adrenergic receptor,P13945
Propranolol,DB00571,5-hydroxytryptamine receptor 1A,P08908
Propranolol,DB00571,5-hydroxytryptamine receptor 1B,P28222
Propylthiouracil,DB00550,Thyroid peroxidase,P07202
Pseudoephedrine,DB00852,Sodium-dependent noradrenaline transporter,P23975
Pseudoephedrine,DB00852,Sodium-dependent dopamine transporter,Q01959
Pseudoephedrine,DB00852,Alpha-1A adrenergic receptor,P35348
Pseudoephedrine,DB00852,Alpha-2A adrenergic receptor,P08913
Pseudoephedrine,DB00852,Beta-2 adrenergic receptor,P07550
Pseudoephedrine,DB00852,Sodium-dependent serotonin transporter,P31645
Pseudoephedrine,DB00852,Beta-1 adrenergic receptor,P08588
Pseudoephedrine,DB00852,"Nuclear factor of activated T-cells, cytoplasmic 1",O95644
Pseudoephedrine,DB00852,Tumor necrosis factor,P01375
Pseudoephedrine,DB00852,Nuclear factor NF-kappa-B p105 subunit,P19838
Pseudoephedrine,DB00852,Cyclic AMP-dependent transcription factor ATF-1,P18846
Pseudoephedrine,DB00852,Cyclic AMP-dependent transcription factor ATF-2,P15336
Pseudoephedrine,DB00852,Cyclic AMP-dependent transcription factor ATF-3,P18847
Pseudoephedrine,DB00852,Cyclic AMP-dependent transcription factor ATF-4,P18848
Pseudoephedrine,DB00852,Cyclic AMP-dependent transcription factor ATF-5,Q9Y2D1
Pseudoephedrine,DB00852,Cyclic AMP-dependent transcription factor ATF-6 alpha,P18850
Pseudoephedrine,DB00852,Cyclic AMP-dependent transcription factor ATF-7,P17544
Pseudoephedrine,DB00852,Jun dimerization protein 2,Q8WYK2
Pseudoephedrine,DB00852,Proto-oncogene c-Fos,P01100
Pseudoephedrine,DB00852,Transcription factor AP-1,P05412
Pseudoephedrine,DB00852,Interleukin-2,P60568
Pyridostigmine,DB00545,Acetylcholinesterase,P22303
Pyridostigmine,DB00545,Cholinesterase,P06276
Pyridostigmine,DB00545,Serum albumin,P02768
Pyridoxine,DB00165,Pyridoxal kinase,O00764
Quetiapine,DB01224,5-hydroxytryptamine receptor 2A,P28223
Quetiapine,DB01224,D(2) dopamine receptor,P14416
Quetiapine,DB01224,5-hydroxytryptamine receptor 1A,P08908
Quetiapine,DB01224,5-hydroxytryptamine receptor 1B,P28222
Quetiapine,DB01224,5-hydroxytryptamine receptor 1D,P28221
Quetiapine,DB01224,5-hydroxytryptamine receptor 1E,P28566
Quetiapine,DB01224,5-hydroxytryptamine receptor 2C,P28335
Quetiapine,DB01224,5-hydroxytryptamine receptor 3A,P46098
Quetiapine,DB01224,5-hydroxytryptamine receptor 6,P50406
Quetiapine,DB01224,5-hydroxytryptamine receptor 7,P34969
Quetiapine,DB01224,D(1A) dopamine receptor,P21728
Quetiapine,DB01224,D(1B) dopamine receptor,P21918
Quetiapine,DB01224,D(3) dopamine receptor,P35462
Quetiapine,DB01224,D(4) dopamine receptor,P21917
Quetiapine,DB01224,Histamine H1 receptor,P35367
Quetiapine,DB01224,Alpha-1A adrenergic receptor,P35348
Quetiapine,DB01224,Alpha-1B adrenergic receptor,P35368
Quetiapine,DB01224,Alpha-1D adrenergic receptor,P25100
Quetiapine,DB01224,Alpha-2A adrenergic receptor,P08913
Quetiapine,DB01224,Alpha-2B adrenergic receptor,P18089
Quetiapine,DB01224,Alpha-2C adrenergic receptor,P18825
Quetiapine,DB01224,Muscarinic acetylcholine receptor M1,P11229
Quetiapine,DB01224,Muscarinic acetylcholine receptor M2,P08172
Quetiapine,DB01224,Muscarinic acetylcholine receptor M3,P20309
Quetiapine,DB01224,Muscarinic acetylcholine receptor M4,P08173
Quetiapine,DB01224,Muscarinic acetylcholine receptor M5,P08912
Quinapril,DB00881,Angiotensin-converting enzyme,P12821
Quinidine,DB00908,Sodium channel protein type 5 subunit alpha,Q14524
Quinidine,DB00908,Potassium channel subfamily K member 1,O00180
Quinidine,DB00908,Potassium channel subfamily K member 6,Q9Y257
Quinidine,DB00908,Potassium voltage-gated channel subfamily H member 2,Q12809
Quinidine,DB00908,Alpha-1A adrenergic receptor,P35348
Quinidine,DB00908,Alpha-1B adrenergic receptor,P35368
Quinidine,DB00908,Alpha-1D adrenergic receptor,P25100
Quinine,DB00468,Platelet glycoprotein IX,P14770
Quinine,DB00468,Intermediate conductance calcium-activated potassium channel protein 4,O15554
Rabeprazole,DB01129,Potassium-transporting ATPase alpha chain 1,P20648
Raloxifene,DB00481,Estrogen receptor,P03372
Raloxifene,DB00481,Estrogen receptor beta,Q92731
Raloxifene,DB00481,Serpin B9,P50453
Raloxifene,DB00481,Trefoil factor 1,P04155
Ramipril,DB00178,Angiotensin-converting enzyme,P12821
Ramipril,DB00178,B1 bradykinin receptor,P46663
Ranitidine,DB00863,Histamine H2 receptor,P25021
Ranitidine,DB00863,Acetylcholinesterase,P22303
Rasagiline,DB01367,Amine oxidase [flavin-containing] B,P27338
Rasagiline,DB01367,Apoptosis regulator Bcl-2,P10415
Remifentanil,DB00899,Mu-type opioid receptor,P35372
Remifentanil,DB00899,Delta-type opioid receptor,P41143
Remifentanil,DB00899,Kappa-type opioid receptor,P41145
Repaglinide,DB00912,ATP-binding cassette sub-family C member 8,Q09428
Repaglinide,DB00912,Peroxisome proliferator-activated receptor gamma,P37231
Reserpine,DB00206,Synaptic vesicular amine transporter,Q05940
Reserpine,DB00206,Chromaffin granule amine transporter,P54219
Reserpine,DB00206,Baculoviral IAP repeat-containing protein 5,O15392
Riboflavin,DB00140,Riboflavin kinase,Q969G6
Riboflavin,DB00140,Riboflavin synthase,P0AFU8
Riboflavin,DB00140,Flavin reductase (NADPH),P30043
Risperidone,DB00734,5-hydroxytryptamine receptor 2A,P28223
Risperidone,DB00734,D(2) dopamine receptor,P14416
Risperidone,DB00734,Alpha-1B adrenergic receptor,P35368
Risperidone,DB00734,Alpha-2B adrenergic receptor,P18089
Risperidone,DB00734,Alpha-1A adrenergic receptor,P35348
Risperidone,DB00734,Alpha-2C adrenergic receptor,P18825
Risperidone,DB00734,Histamine H1 receptor,P35367
Risperidone,DB00734,5-hydroxytryptamine receptor 2C,P28335
Risperidone,DB00734,5-hydroxytryptamine receptor 1D,P28221
Risperidone,DB00734,5-hydroxytryptamine receptor 1A,P08908
Risperidone,DB00734,5-hydroxytryptamine receptor 7,P34969
Risperidone,DB00734,D(1A) dopamine receptor,P21728
Rivastigmine,DB00989,Acetylcholinesterase,P22303
Rivastigmine,DB00989,Cholinesterase,P06276
Rizatriptan,DB00953,5-hydroxytryptamine receptor 1F,P30939
Rizatriptan,DB00953,5-hydroxytryptamine receptor 1D,P28221
Rizatriptan,DB00953,5-hydroxytryptamine receptor 1B,P28222
Rofecoxib,DB00533,Prostaglandin G/H synthase 2,P35354
Rofecoxib,DB00533,Elastin,P15502
Ropinirole,DB00268,D(3) dopamine receptor,P35462
Ropinirole,DB00268,D(4) dopamine receptor,P21917
Ropinirole,DB00268,D(2) dopamine receptor,P14416
Ropinirole,DB00268,Alpha-1A adrenergic receptor,P35348
Ropinirole,DB00268,Alpha-1B adrenergic receptor,P35368
Ropinirole,DB00268,Alpha-1D adrenergic receptor,P25100
Ropinirole,DB00268,Alpha-2A adrenergic receptor,P08913
Ropinirole,DB00268,Alpha-2B adrenergic receptor,P18089
Ropinirole,DB00268,Alpha-2C adrenergic receptor,P18825
Rosiglitazone,DB00412,Peroxisome proliferator-activated receptor gamma,P37231
Rosiglitazone,DB00412,Long-chain-fatty-acid--CoA ligase 4,O60488
Rosiglitazone,DB00412,Peroxisome proliferator-activated receptor alpha,Q07869
Rosiglitazone,DB00412,Peroxisome proliferator-activated receptor delta,Q03181
Rosiglitazone,DB00412,Retinoic acid receptor RXR-alpha,P19793
Rosiglitazone,DB00412,Retinoic acid receptor RXR-beta,P28702
Rosiglitazone,DB00412,Retinoic acid receptor RXR-gamma,P48443
Rosuvastatin,DB01098,3-hydroxy-3-methylglutaryl-coenzyme A reductase,P04035
Rosuvastatin,DB01098,Integrin alpha-L,P20701
Salbutamol,DB01001,Beta-2 adrenergic receptor,P07550
Salbutamol,DB01001,Beta-1 adrenergic receptor,P08588
Salbutamol,DB01001,Beta-3 adrenergic receptor,P13945
Salmeterol,DB00938,Beta-2 adrenergic receptor,P07550
Salmeterol,DB00938,Beta-1 adrenergic receptor,P08588
Salmeterol,DB00938,Beta-3 adrenergic receptor,P13945
Salsalate,DB01399,Prostaglandin G/H synthase 2,P35354
Salsalate,DB01399,Prostaglandin G/H synthase 1,P23219
Saquinavir,DB01232,Pol polyprotein,Q72874
Scopolamine,DB00747,Muscarinic acetylcholine receptor M1,P11229
Scopolamine,DB00747,"Sucrase-isomaltase, intestinal",P14410
Scopolamine,DB00747,Muscarinic acetylcholine receptor M2,P08172
Scopolamine,DB00747,Muscarinic acetylcholine receptor M3,P20309
Scopolamine,DB00747,Muscarinic acetylcholine receptor M4,P08173
Scopolamine,DB00747,Muscarinic acetylcholine receptor M5,P08912
Scopolamine,DB00747,Neuronal acetylcholine receptor subunit alpha-4,P43681
Scopolamine,DB00747,Neuronal acetylcholine receptor subunit beta-2,P17787
Sermorelin,DB00010,Growth hormone-releasing hormone receptor,Q02643
Sertraline,DB01104,Sodium-dependent serotonin transporter,P31645
Sertraline,DB01104,Sodium-dependent dopamine transporter,Q01959
Sertraline,DB01104,Membrane-associated progesterone receptor component 1,O00264
Sertraline,DB01104,Sigma non-opioid intracellular receptor 1,Q99720
Sertraline,DB01104,Sodium-dependent noradrenaline transporter,P23975
Sertraline,DB01104,Equilibrative nucleoside transporter 4,Q7RTT9
Sibutramine,DB01105,Sodium-dependent noradrenaline transporter,P23975
Sibutramine,DB01105,Sodium-dependent serotonin transporter,P31645
Sibutramine,DB01105,Sodium-dependent dopamine transporter,Q01959
Sildenafil,DB00203,"cGMP-specific 3',5'-cyclic phosphodiesterase",O76074
Sildenafil,DB00203,"Retinal rod rhodopsin-sensitive cGMP 3',5'-cyclic phosphodiesterase subunit gamma",P18545
Sildenafil,DB00203,"Retinal cone rhodopsin-sensitive cGMP 3',5'-cyclic phosphodiesterase subunit gamma",Q13956
Simvastatin,DB00641,3-hydroxy-3-methylglutaryl-coenzyme A reductase,P04035
Simvastatin,DB00641,Integrin alpha-L,P20701
Simvastatin,DB00641,Histone deacetylase 2,Q92769
Sitagliptin,DB01261,Dipeptidyl peptidase 4,P27487
Sorafenib,DB00398,Vascular endothelial growth factor receptor 3,P35916
Sorafenib,DB00398,RAF proto-oncogene serine/threonine-protein kinase,P04049
Sorafenib,DB00398,Vascular endothelial growth factor receptor 2,P35968
Sorafenib,DB00398,Serine/threonine-protein kinase B-raf,P15056
Sorafenib,DB00398,Receptor-type tyrosine-protein kinase FLT3,P36888
Sorafenib,DB00398,Platelet-derived growth factor receptor beta,P09619
Sorafenib,DB00398,Mast/stem cell growth factor receptor Kit,P10721
Sorafenib,DB00398,Fibroblast growth factor receptor 1,P11362
Sorafenib,DB00398,Proto-oncogene tyrosine-protein kinase receptor Ret,P07949
Sorafenib,DB00398,Vascular endothelial growth factor receptor 1,P17948
Sotalol,DB00489,Potassium voltage-gated channel subfamily H member 2,Q12809
Sotalol,DB00489,Beta-1 adrenergic receptor,P08588
Sotalol,DB00489,Beta-2 adrenergic receptor,P07550
Spironolactone,DB00421,Mineralocorticoid receptor,P08235
Spironolactone,DB00421,Androgen receptor,P10275
Spironolactone,DB00421,Progesterone receptor,P06401
Spironolactone,DB00421,Glucocorticoid receptor,P04150
Spironolactone,DB00421,"Cytochrome P450 11B2, mitochondrial",P19099
Spironolactone,DB00421,"Steroid 17-alpha-hydroxylase/17,20 lyase",P05093
Spironolactone,DB00421,3-oxo-5-alpha-steroid 4-dehydrogenase 1,P18405
Spironolactone,DB00421,3-oxo-5-alpha-steroid 4-dehydrogenase 2,P31213
Spironolactone,DB00421,Polyprenol reductase,Q9H8P0
Spironolactone,DB00421,Sex hormone-binding globulin,P04278
Spironolactone,DB00421,Voltage-dependent calcium channel gamma-1 subunit,Q06432
Spironolactone,DB00421,Voltage-dependent calcium channel gamma-2 subunit,Q9Y698
Spironolactone,DB00421,Voltage-dependent calcium channel gamma-3 subunit,O60359
Spironolactone,DB00421,Voltage-dependent calcium channel gamma-4 subunit,Q9UBN1
Spironolactone,DB00421,Voltage-dependent calcium channel gamma-5 subunit,Q9UF02
Spironolactone,DB00421,Voltage-dependent calcium channel gamma-6 subunit,Q9BXT2
Spironolactone,DB00421,Voltage-dependent calcium channel gamma-7 subunit,P62955
Spironolactone,DB00421,Voltage-dependent calcium channel gamma-8 subunit,Q8WXS5
Spironolactone,DB00421,Voltage-dependent calcium channel subunit alpha-2/delta-1,P54289
Spironolactone,DB00421,Voltage-dependent calcium channel subunit alpha-2/delta-2,Q9NY47
Spironolactone,DB00421,Voltage-dependent calcium channel subunit alpha-2/delta-3,Q8IZS8
Spironolactone,DB00421,Voltage-dependent calcium channel subunit alpha-2/delta-4,Q7Z3S7
Spironolactone,DB00421,Voltage-dependent L-type calcium channel subunit alpha-1C,Q13936
Spironolactone,DB00421,Voltage-dependent L-type calcium channel subunit alpha-1D,Q01668
Spironolactone,DB00421,Voltage-dependent L-type calcium channel subunit alpha-1F,O60840
Spironolactone,DB00421,Voltage-dependent L-type calcium channel subunit alpha-1S,Q13698
Spironolactone,DB00421,Voltage-dependent L-type calcium channel subunit beta-1,Q02641
Spironolactone,DB00421,Voltage-dependent L-type calcium channel subunit beta-2,Q08289
Spironolactone,DB00421,Voltage-dependent L-type calcium channel subunit beta-3,P54284
Spironolactone,DB00421,Voltage-dependent L-type calcium channel subunit beta-4,O00305
Spironolactone,DB00421,Voltage-dependent N-type calcium channel subunit alpha-1B,Q00975
Spironolactone,DB00421,Voltage-dependent P/Q-type calcium channel subunit alpha-1A,O00555
Spironolactone,DB00421,Voltage-dependent R-type calcium channel subunit alpha-1E,Q15878
Spironolactone,DB00421,Voltage-dependent T-type calcium channel subunit alpha-1G,O43497
Spironolactone,DB00421,Voltage-dependent T-type calcium channel subunit alpha-1H,O95180
Spironolactone,DB00421,Voltage-dependent T-type calcium channel subunit alpha-1I,Q9P0X4
Spironolactone,DB00421,Nuclear receptor subfamily 1 group I member 2,O75469
Streptozocin,DB00428,"Solute carrier family 2, facilitated glucose transporter member 2",P11168
Streptozocin,DB00428,O-GlcNAcase BT_4395,Q89ZI2
Streptozocin,DB00428,Protein O-GlcNAcase,O60502
Sucralfate,DB00364,Pepsin A-5,P0DJD9
Sucralfate,DB00364,Fibroblast growth factor 2,P09038
Sucralfate,DB00364,Pro-epidermal growth factor,P01133
Sucralfate,DB00364,Fibrinogen alpha chain,P02671
Sucralfate,DB00364,Fibrinogen beta chain,P02675
Sucralfate,DB00364,Fibrinogen gamma chain,P02679
Sulfasalazine,DB00795,Arachidonate 5-lipoxygenase,P09917
Sulfasalazine,DB00795,Prostaglandin G/H synthase 2,P35354
Sulfasalazine,DB00795,Prostaglandin G/H synthase 1,P23219
Sulfasalazine,DB00795,Peroxisome proliferator-activated receptor gamma,P37231
Sulfasalazine,DB00795,Inhibitor of nuclear factor kappa-B kinase subunit alpha,O15111
Sulfasalazine,DB00795,Inhibitor of nuclear factor kappa-B kinase subunit beta,O14920
Sulfasalazine,DB00795,Cystine/glutamate transporter,Q9UPY5
Sulfasalazine,DB00795,"Acetyl-CoA acetyltransferase, mitochondrial",P24752
Sulfasalazine,DB00795,Thromboxane-A synthase,P24557
Sulfasalazine,DB00795,Phospholipase A2,P04054
Sulindac,DB00605,Prostaglandin G/H synthase 2,P35354
Sulindac,DB00605,Prostaglandin G/H synthase 1,P23219
Sulindac,DB00605,Aldose reductase,P15121
Sulindac,DB00605,Mitogen-activated protein kinase 3,P27361
Sulindac,DB00605,Peroxisome proliferator-activated receptor delta,Q03181
Sulindac,DB00605,Prostaglandin D2 receptor 2,Q9Y5Y4
Sulindac,DB00605,Aldo-keto reductase family 1 member B10,O60218
Sumatriptan,DB00669,5-hydroxytryptamine receptor 1F,P30939
Sumatriptan,DB00669,5-hydroxytryptamine receptor 1D,P28221
Sumatriptan,DB00669,5-hydroxytryptamine receptor 1B,P28222
Sumatriptan,DB00669,5-hydroxytryptamine receptor 1A,P08908
Sunitinib,DB01268,Platelet-derived growth factor receptor beta,P09619
Sunitinib,DB01268,Vascular endothelial growth factor receptor 1,P17948
Sunitinib,DB01268,Mast/stem cell growth factor receptor Kit,P10721
Sunitinib,DB01268,Vascular endothelial growth factor receptor 2,P35968
Sunitinib,DB01268,Vascular endothelial growth factor receptor 3,P35916
Sunitinib,DB01268,Receptor-type tyrosine-protein kinase FLT3,P36888
Sunitinib,DB01268,Macrophage colony-stimulating factor 1 receptor,P07333
Sunitinib,DB01268,Platelet-derived growth factor receptor alpha,P16234
Tacrine,DB00382,Acetylcholinesterase,P22303
Tacrine,DB00382,Cholinesterase,P06276
Tacrine,DB00382,Liver carboxylesterase 1,P23141
Tacrolimus,DB00864,Peptidyl-prolyl cis-trans isomerase FKBP1A,P62942
Tadalafil,DB00820,"cGMP-specific 3',5'-cyclic phosphodiesterase",O76074
Tadalafil,DB00820,"Dual 3',5'-cyclic-AMP and -GMP phosphodiesterase 11A",Q9HCR9
Tamoxifen,DB00675,Estrogen receptor,P03372
Tamoxifen,DB00675,Estrogen receptor beta,Q92731
Tamoxifen,DB00675,"3-beta-hydroxysteroid-Delta(8),Delta(7)-isomerase",Q15125
Tamoxifen,DB00675,Protein kinase C alpha type,P17252
Tamoxifen,DB00675,Protein kinase C beta type,P05771
Tamoxifen,DB00675,Protein kinase C delta type,Q05655
Tamoxifen,DB00675,Protein kinase C epsilon type,Q02156
Tamoxifen,DB00675,Protein kinase C gamma type,P05129
Tamoxifen,DB00675,Protein kinase C iota type,P41743
Tamoxifen,DB00675,Protein kinase C theta type,Q04759
Tamoxifen,DB00675,Protein kinase C zeta type,Q05513
Tamoxifen,DB00675,Androgen receptor,P10275
Tamoxifen,DB00675,Potassium voltage-gated channel subfamily H member 2,Q12809
Tamoxifen,DB00675,Nuclear receptor subfamily 1 group I member 2,O75469
Tamoxifen,DB00675,Estrogen-related receptor gamma,P62508
Tamoxifen,DB00675,Sex hormone-binding globulin,P04278
Tamoxifen,DB00675,Mitogen-activated protein kinase 8,P45983
Tamsulosin,DB00706,Alpha-1A adrenergic receptor,P35348
Tamsulosin,DB00706,Alpha-1D adrenergic receptor,P25100
Tamsulosin,DB00706,Alpha-1B adrenergic receptor,P35368
Telmisartan,DB00966,Type-1 angiotensin II receptor,P30556
Telmisartan,DB00966,Peroxisome proliferator-activated receptor gamma,P37231
Temsirolimus,DB06287,Serine/threonine-protein kinase mTOR,P42345
Teniposide,DB00444,DNA topoisomerase 2-alpha,P11388
Terazosin,DB01162,Alpha-1A adrenergic receptor,P35348
Terazosin,DB01162,Alpha-1B adrenergic receptor,P35368
Terazosin,DB01162,Alpha-1D adrenergic receptor,P25100
